,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Country
761,Mafizur Rahman ,1997-1997,4,4,1,53,16,17.66,104,50.96,0,0,0,3+,0+,BANGLADESH
762,Mahbubul Alam ,2009-2009,5,2,0,81,59,40.50,71,114.08,0,1,0,3,4,BANGLADESH
763,Mahbubur Rahman ,1999-1999,1,1,0,3,3,3.00,8,37.50,0,0,0,0,0,BANGLADESH
764,Mahedi Hasan ,2021-2021,3,3,0,24,14,8.00,33,72.72,0,0,0,1,2,BANGLADESH
765,Mahmudullah ,2007-2021,200,174,45,4469,128*,34.64,5800,77.05,3,25,9,337,70,BANGLADESH
766,Manjural Islam ,1999-2003,34,22,13,53,13,5.88,134,39.55,0,0,4,4,0,BANGLADESH
767,Manjural Islam Rana ,2003-2006,25,21,5,331,63,20.68,668,49.55,0,1,1,21,1,BANGLADESH
768,Mashrafe Mortaza ,2001-2020,218,156,28,1773,51*,13.85,2021,87.72,0,1,15,150,62,BANGLADESH
769,Mazharul Haque ,2002-2002,1,1,0,3,3,3.00,18,16.66,0,0,0,0,0,BANGLADESH
770,Mehidy Hasan Miraz ,2017-2021,52,32,4,426,51,15.21,566,75.26,0,1,3,40,5,BANGLADESH
771,Mehrab Hossain ,1998-2003,18,18,0,449,101,24.94,763,58.84,1,2,2,48,3,BANGLADESH
772,Mehrab Hossain jnr ,2006-2009,18,16,0,276,54,17.25,642,42.99,0,1,1,24,0,BANGLADESH
773,Minhajul Abedin ,1986-1999,27,26,2,453,68*,18.87,909,49.83,0,2,3,26+,0+,BANGLADESH
774,Mohammad Ashraful ,2001-2013,175,168,13,3468,109,22.37,4946,70.11,3,20,13,354,29,BANGLADESH
775,Mohammad Mithun ,2014-2021,34,30,4,714,73*,27.46,921,77.52,0,6,2,61,16,BANGLADESH
776,Mohammad Naim ,2020-2021,2,1,0,1,1,1.00,2,50.00,0,0,0,0,0,BANGLADESH
777,Mohammad Rafique ,1995-2007,123,104,16,1190,77,13.52,1657,71.81,0,2,15,110,29,BANGLADESH
778,Mohammad Saifuddin ,2017-2021,29,19,9,362,51*,36.20,422,85.78,0,2,1,29,6,BANGLADESH
779,Mohammad Salim ,2003-2003,1,1,0,9,9,9.00,24,37.50,0,0,0,1,0,BANGLADESH
780,Mohammad Sharif ,2001-2007,9,9,5,53,13*,13.25,102,51.96,0,0,1,1,0,BANGLADESH
781,Mominul Haque ,2012-2018,28,26,1,557,60,22.28,749,74.36,0,3,1,60,1,BANGLADESH
782,Moniruzzaman ,2003-2003,2,2,0,1,1,0.50,20,5.00,0,0,1,0,0,BANGLADESH
783,Morshed Ali Khan ,1998-1998,3,1,1,2,2*,-,4,50.00,0,0,0,0,0,BANGLADESH
784,Mosaddek Hossain ,2016-2021,40,34,10,620,52*,25.83,741,83.67,0,3,1,57,12,BANGLADESH
785,Mosharraf Hossain ,2008-2016,5,5,1,26,8,6.50,75,34.66,0,0,0,0,0,BANGLADESH
786,Mushfiqur Rahim ,2006-2021,227,213,36,6581,144,37.18,8325,79.05,8,40,10,517,85,BANGLADESH
787,Mushfiqur Rahman ,2000-2004,28,25,3,360,49,16.36,690,52.17,0,0,4,29,1,BANGLADESH
788,Mustafizur Rahman ,2015-2021,68,31,20,79,18*,7.18,142,55.63,0,0,5,9,0,BANGLADESH
789,Naeem Islam ,2008-2014,59,51,15,975,84,27.08,1473,66.19,0,5,5,84,13,BANGLADESH
790,Nafees Iqbal ,2003-2005,16,16,0,309,58,19.31,568,54.40,0,2,1,32,2,BANGLADESH
791,Naimur Rahman ,1995-2002,29,27,2,488,47,19.52,771,63.29,0,0,3,42,5,BANGLADESH
792,Nasir Ahmed ,1988-1990,7,4,2,25,11,12.50,62,40.32,0,0,0,1+,0+,BANGLADESH
793,Nasir Hossain ,2011-2018,65,52,8,1281,100,29.11,1605,79.81,1,6,4,112,15,BANGLADESH
794,Nazimuddin ,2008-2012,11,11,0,147,47,13.36,237,62.02,0,0,0,18,2,BANGLADESH
795,Nazmul Hossain ,2004-2012,38,21,13,35,6*,4.37,128,27.34,0,0,4,0,0,BANGLADESH
796,Najmul Hossain Shanto ,2018-2021,8,8,0,93,29,11.62,158,58.86,0,0,0,7,2,BANGLADESH
797,Nazmul Islam ,2018-2018,5,1,0,7,7,7.00,13,53.84,0,0,0,0,0,BANGLADESH
798,Neeyamur Rashid ,1999-1999,2,2,1,5,4*,5.00,5,100.00,0,0,0,0,0,BANGLADESH
799,Nurul Abedin ,1986-1990,4,4,0,15,13,3.75,55,27.27,0,0,2,0+,0+,BANGLADESH
800,Nurul Hasan ,2016-2021,3,3,1,113,45*,56.50,109,103.66,0,0,0,10,2,BANGLADESH
801,Rafiqul Alam ,1986-1986,2,2,0,24,14,12.00,63,38.09,0,0,0,-,-,BANGLADESH
802,Rafiqul Islam ,2002-2002,1,1,0,0,0,0.00,5,0.00,0,0,1,0,0,BANGLADESH
803,Rajin Saleh ,2003-2006,43,43,1,1005,108*,23.92,1833,54.82,1,6,5,94,3,BANGLADESH
804,Raqibul Hasan ,1986-1986,2,2,0,17,12,8.50,65,26.15,0,0,0,-,0+,BANGLADESH
805,Raqibul Hasan ,2008-2011,55,54,7,1308,89,27.82,2133,61.32,0,8,6,102,8,BANGLADESH
806,Robiul Islam ,2013-2013,3,1,1,0,0*,-,1,0.00,0,0,0,0,0,BANGLADESH
807,Rubel Hossain ,2009-2021,104,53,24,144,17,4.96,277,51.98,0,0,11,14,2,BANGLADESH
808,Sabbir Rahman ,2014-2019,66,59,7,1333,102,25.63,1461,91.23,1,6,5,153,24,BANGLADESH
809,Saiful Islam ,1990-1997,7,4,2,37,22*,18.50,59,62.71,0,0,0,3,0,BANGLADESH
810,Sajjad Ahmed ,1995-1995,2,2,0,15,11,7.50,46,32.60,0,0,0,0,0,BANGLADESH
811,Samiur Rahman ,1986-1986,2,2,0,4,4,2.00,7,57.14,0,0,1,0+,0,BANGLADESH
812,Sanwar Hossain ,1998-2003,27,27,2,290,52,11.60,597,48.57,0,1,2,23,0,BANGLADESH
813,Shafiuddin Ahmed ,1997-2000,11,10,6,22,11,5.50,66,33.33,0,0,3,1+,0+,BANGLADESH
814,Shafiul Islam ,2010-2020,60,34,12,134,24*,6.09,240,55.83,0,0,9,13,2,BANGLADESH
815,Shahadat Hossain ,2006-2013,51,27,17,79,16*,7.90,151,52.31,0,0,3,7,1,BANGLADESH
816,Shaheedur Rahman ,1986-1986,2,2,0,62,37,31.00,108,57.40,0,0,0,-,-,BANGLADESH
817,Shahriar Hossain ,1997-2004,20,19,0,362,95,19.05,682,53.07,0,2,4,36+,0+,BANGLADESH
818,Shahriar Nafees ,2005-2011,75,75,5,2201,123*,31.44,3167,69.49,4,13,11,277,7,BANGLADESH
819,Shamsur Rahman ,2013-2014,10,10,0,266,96,26.60,350,76.00,0,2,2,23,9,BANGLADESH
820,Shakib Al Hasan ,2006-2021,215,203,29,6600,134*,37.93,8035,82.14,9,49,11,596,43,BANGLADESH
821,Shariful Haque ,1998-1998,1,1,0,10,10,10.00,6,166.66,0,0,0,0,1,BANGLADESH
822,Sheikh Salahuddin ,1997-1997,6,5,3,24,12,12.00,136,17.64,0,0,0,0+,0+,BANGLADESH
823,Shoriful Islam ,2021-2021,4,3,1,8,8,4.00,7,114.28,0,0,1,0,1,BANGLADESH
824,Shuvagata Hom ,2011-2011,4,3,1,70,35*,35.00,86,81.39,0,0,0,9,0,BANGLADESH
825,Sohag Gazi ,2012-2014,20,16,4,184,30,15.33,213,86.38,0,0,0,18,4,BANGLADESH
826,Sohrawordi Shuvo ,2010-2011,17,10,3,98,20*,14.00,135,72.59,0,0,0,9,1,BANGLADESH
827,Soumya Sarkar ,2014-2021,61,58,3,1768,127*,32.14,1816,97.35,2,11,6,203,43,BANGLADESH
828,Subashis Roy ,2016-2016,1,1,1,1,1*,-,9,11.11,0,0,0,0,0,BANGLADESH
829,Sunzamul Islam ,2017-2018,3,1,0,19,19,19.00,24,79.16,0,0,0,3,0,BANGLADESH
830,Syed Rasel ,2005-2010,52,27,11,81,15,5.06,185,43.78,0,0,5,7,0,BANGLADESH
831,Taijul Islam ,2014-2020,9,5,1,63,39*,15.75,78,80.76,0,0,1,7,1,BANGLADESH
832,Talha Jubair ,2002-2003,6,5,3,5,4*,2.50,15,33.33,0,0,2,1,0,BANGLADESH
833,Tamim Iqbal ,2007-2021,219,217,9,7666,158,36.85,9753,78.60,14,51,19,831,98,BANGLADESH
834,Tanbir Hayder ,2016-2016,2,2,0,5,3,2.50,16,31.25,0,0,0,0,0,BANGLADESH
835,Tapash Baisya ,2002-2007,56,41,13,336,35*,12.00,576,58.33,0,0,4,26,4,BANGLADESH
836,Tareq Aziz ,2002-2004,10,8,7,26,11*,26.00,73,35.61,0,0,1,2,0,BANGLADESH
837,Taskin Ahmed ,2014-2021,42,20,6,61,14,4.35,158,38.60,0,0,4,5,0,BANGLADESH
838,Tushar Imran ,2001-2007,41,40,0,574,65,14.35,970,59.17,0,2,8,67,1,BANGLADESH
839,Wahidul Gani ,1988-1988,1,-,-,-,-,-,-,-,-,-,-,-,-,BANGLADESH
840,Zahid Razzak ,1988-1990,3,3,0,14,6,4.66,44,31.81,0,0,0,0,0,BANGLADESH
841,Zakir Hasan ,1997-1997,1,-,-,-,-,-,-,-,-,-,-,-,-,BANGLADESH
842,Zakir Hossain ,1998-1998,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0,BANGLADESH
843,Ziaur Rahman ,2013-2014,13,11,0,124,41,11.27,110,112.72,0,0,3,13,6,BANGLADESH
844,KJ Abbott ,2013-2016,28,13,4,76,23,8.44,126,60.31,0,0,1,6,0,SOUTH AFRICA
845,S Abrahams ,2000-2000,1,1,1,16,16*,-,26,61.53,0,0,0,2,0,SOUTH AFRICA
846,PR Adams ,1996-2003,24,9,5,66,33*,16.50,124,53.22,0,0,2,5,0,SOUTH AFRICA
847,HM Amla ,2008-2019,181,178,14,8113,159,49.46,9178,88.39,27,39,4,822,53,SOUTH AFRICA
848,AM Bacher ,1997-2005,13,13,0,270,56,20.76,469,57.56,0,1,0,26,0,SOUTH AFRICA
849,T Bavuma ,2016-2021,13,12,2,499,113,49.90,568,87.85,1,2,0,42,4,SOUTH AFRICA
850,F Behardien ,2013-2018,59,49,14,1074,70,30.68,1097,97.90,0,6,4,79,25,SOUTH AFRICA
851,DM Benkenstein ,1998-2002,23,20,3,305,69,17.94,463,65.87,0,1,3,20,0,SOUTH AFRICA
852,GH Bodi ,2007-2007,2,2,0,83,51,41.50,132,62.87,0,1,0,9,1,SOUTH AFRICA
853,N Boje ,1995-2005,113,69,18,1410,129,27.64,1579,89.29,2,4,2,135,13,SOUTH AFRICA
854,T Bosch ,1992-1992,2,-,-,-,-,-,-,-,-,-,-,-,-,SOUTH AFRICA
855,LE Bosman ,2006-2010,13,11,0,299,88,27.18,293,102.04,0,2,2,37,9,SOUTH AFRICA
856,J Botha ,2005-2012,76,48,17,578,46,18.64,693,83.40,0,0,2,53,2,SOUTH AFRICA
857,MV Boucher ,1998-2011,290,216,57,4523,147*,28.44,5342,84.66,1,25,16,341,81,SOUTH AFRICA
858,RE Bryson ,1997-1997,7,4,3,32,17*,32.00,25,128.00,0,0,0,2,1,SOUTH AFRICA
859,DJ Callaghan ,1992-2000,29,25,6,493,169*,25.94,726,67.90,1,0,2,43,5,SOUTH AFRICA
860,SJ Cook ,1991-1993,4,4,0,67,35,16.75,118,56.77,0,0,1,4,0,SOUTH AFRICA
861,WJ Cronje ,1992-2000,188,175,31,5565,112,38.64,7277,76.47,2,39,8,366,94,SOUTH AFRICA
862,DN Crookes ,1994-2000,32,23,3,296,54,14.80,412,71.84,0,1,3,20,5,SOUTH AFRICA
863,DJ Cullinan ,1993-2000,138,133,16,3860,124,32.99,5492,70.28,3,23,10,298,33,SOUTH AFRICA
864,CJ Dala ,2018-2018,2,2,1,8,5,8.00,6,133.33,0,0,0,1,0,SOUTH AFRICA
865,H Davids ,2013-2013,2,2,0,8,7,4.00,24,33.33,0,0,0,0,0,SOUTH AFRICA
866,AC Dawson ,1998-2004,19,7,4,69,23*,23.00,67,102.98,0,0,0,9,1,SOUTH AFRICA
867,Q de Kock ,2013-2021,124,124,6,5355,178,45.38,5609,95.47,16,26,4,614,81,SOUTH AFRICA
868,M de Lange ,2012-2016,4,-,-,-,-,-,-,-,-,-,-,-,-,SOUTH AFRICA
869,AB de Villiers ,2005-2018,223,213,39,9427,176,54.17,9308,101.27,25,52,7,823,200,SOUTH AFRICA
870,PS de Villiers ,1992-1997,83,36,15,170,20*,8.09,218,77.98,0,0,7,13,2,SOUTH AFRICA
871,HH Dippenaar ,1999-2006,101,89,14,3300,125*,44.00,4887,67.52,4,25,3,317,16,SOUTH AFRICA
872,AA Donald ,1991-2003,164,40,18,95,13,4.31,279,34.05,0,0,12,2,0,SOUTH AFRICA
873,JP Duminy ,2004-2019,199,179,40,5117,150*,36.81,6052,84.55,4,27,7,347,75,SOUTH AFRICA
874,DM Dupavillon ,2020-2021,2,1,0,17,17,17.00,10,170.00,0,0,0,2,1,SOUTH AFRICA
875,F du Plessis ,2011-2019,143,136,20,5507,185,47.47,6215,88.60,12,35,3,495,66,SOUTH AFRICA
876,CE Eksteen ,1991-1994,6,2,2,6,6*,-,25,24.00,0,0,0,0,0,SOUTH AFRICA
877,D Elgar ,2012-2018,8,7,1,104,42,17.33,177,58.75,0,0,0,6,0,SOUTH AFRICA
878,S Elworthy ,1998-2002,39,16,8,100,23,12.50,160,62.50,0,0,3,10,1,SOUTH AFRICA
879,BC Fortuin ,2020-2020,1,-,-,-,-,-,-,-,-,-,-,-,-,SOUTH AFRICA
880,HH Gibbs ,1996-2010,248,240,16,8094,175,36.13,9721,83.26,21,37,22,930,128,SOUTH AFRICA
881,AJ Hall ,1999-2007,88,56,13,905,81,21.04,1206,75.04,0,3,5,90,10,SOUTH AFRICA
882,PL Harris ,2008-2008,3,-,-,-,-,-,-,-,-,-,-,-,-,SOUTH AFRICA
883,M Hayward ,1998-2002,21,5,1,12,4,3.00,28,42.85,0,0,1,0,0,SOUTH AFRICA
884,CW Henderson ,2001-2001,4,-,-,-,-,-,-,-,-,-,-,-,-,SOUTH AFRICA
885,BE Hendricks ,2019-2021,8,3,1,6,3,3.00,19,31.57,0,0,0,0,0,SOUTH AFRICA
886,RR Hendricks ,2018-2021,24,24,2,565,102,25.68,736,76.76,1,3,1,55,5,SOUTH AFRICA
887,O Henry ,1992-1992,3,3,1,20,11,10.00,26,76.92,0,0,0,2,0,SOUTH AFRICA
888,AC Hudson ,1991-1997,89,88,1,2559,161,29.41,3960,64.62,2,18,6,278,15,SOUTH AFRICA
889,Imran Tahir ,2011-2019,107,36,16,157,29,7.85,225,69.77,0,0,6,21,1,SOUTH AFRICA
890,CA Ingram ,2010-2013,31,29,3,843,124,32.42,1024,82.32,3,3,5,82,10,SOUTH AFRICA
891,SD Jack ,1994-1995,2,2,0,7,6,3.50,8,87.50,0,0,0,0,0,SOUTH AFRICA
892,C Jonker ,2018-2018,2,2,0,31,25,15.50,33,93.93,0,0,0,5,1,SOUTH AFRICA
893,JH Kallis ,1996-2014,323,309,53,11550,139,45.11,15793,73.13,17,86,17,910,137,SOUTH AFRICA
894,JM Kemp ,2001-2007,79,60,18,1371,100*,32.64,1656,82.78,1,9,5,88,52,SOUTH AFRICA
895,JC Kent ,2002-2002,2,-,-,-,-,-,-,-,-,-,-,-,-,SOUTH AFRICA
896,G Kirsten ,1993-2003,185,185,19,6798,188*,40.95,9436,72.04,13,45,11,659,20,SOUTH AFRICA
897,PN Kirsten ,1991-1994,40,40,6,1293,97,38.02,2308,56.02,0,9,0,90,8,SOUTH AFRICA
898,H Klaasen ,2018-2021,24,23,4,613,123*,32.26,654,93.73,1,3,1,57,12,SOUTH AFRICA
899,RK Kleinveldt ,2013-2013,10,7,0,105,43,15.00,124,84.67,0,0,1,9,5,SOUTH AFRICA
900,L Klusener ,1996-2004,171,137,50,3576,103*,41.10,3977,89.91,2,19,13,293,76,SOUTH AFRICA
901,LJ Koen ,1997-2000,5,5,0,82,28,16.40,169,48.52,0,0,1,9,0,SOUTH AFRICA
902,GJP Kruger ,2006-2006,3,2,1,0,0*,0.00,10,0.00,0,0,1,0,0,SOUTH AFRICA
903,AP Kuiper ,1991-1996,25,23,7,539,63*,33.68,662,81.41,0,3,0,37,11,SOUTH AFRICA
904,CK Langeveldt ,2001-2010,72,21,10,73,12,6.63,124,58.87,0,0,1,8,0,SOUTH AFRICA
905,GFJ Liebenberg ,1995-1998,4,4,0,94,39,23.50,199,47.23,0,0,0,8,0,SOUTH AFRICA
906,GF Linde ,2021-2021,2,2,1,27,18,27.00,29,93.10,0,0,0,3,0,SOUTH AFRICA
907,J Louw ,2008-2008,3,1,0,23,23,23.00,7,328.57,0,0,0,1,3,SOUTH AFRICA
908,ND McKenzie ,2000-2009,64,55,10,1688,131*,37.51,2432,69.40,2,10,2,142,8,SOUTH AFRICA
909,R McLaren ,2009-2014,54,41,15,485,71*,18.65,680,71.32,0,1,3,42,6,SOUTH AFRICA
910,BM McMillan ,1991-1998,78,52,16,841,127,23.36,1147,73.32,1,0,3,55,7,SOUTH AFRICA
911,SSB Magala ,2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,-,SOUTH AFRICA
912,KA Maharaj ,2017-2021,15,8,2,96,19,16.00,92,104.34,0,0,0,13,0,SOUTH AFRICA
913,JN Malan ,2020-2021,11,10,2,661,177*,82.62,719,91.93,3,2,1,60,15,SOUTH AFRICA
914,AK Markram ,2017-2021,34,31,1,843,96,28.10,969,86.99,0,3,1,92,19,SOUTH AFRICA
915,CR Matthews ,1991-1997,56,22,9,141,26,10.84,202,69.80,0,0,3,5,2,SOUTH AFRICA
916,DA Miller ,2010-2021,137,118,35,3367,139,40.56,3339,100.83,5,16,8,247,92,SOUTH AFRICA
917,JA Morkel ,2004-2012,56,41,10,760,97,24.51,750,101.33,0,2,1,69,25,SOUTH AFRICA
918,M Morkel ,2007-2018,114,45,17,239,32*,8.53,321,74.45,0,0,9,19,7,SOUTH AFRICA
919,CH Morris ,2013-2019,42,27,4,467,62,20.30,465,100.43,0,1,0,36,15,SOUTH AFRICA
920,PV Mpitsang ,1999-1999,2,1,1,1,1*,-,1,100.00,0,0,0,0,0,SOUTH AFRICA
921,PWA Mulder ,2017-2021,12,10,4,81,19*,13.50,100,81.00,0,0,0,11,0,SOUTH AFRICA
922,A Nel ,2001-2008,79,22,12,127,30*,12.70,166,76.50,0,0,2,14,3,SOUTH AFRICA
923,L Ngidi ,2018-2021,29,9,6,47,19*,15.66,66,71.21,0,0,0,4,2,SOUTH AFRICA
924,A Nortje ,2019-2021,12,3,1,19,10,9.50,27,70.37,0,0,0,1,0,SOUTH AFRICA
925,M Ntini ,1998-2009,172,46,23,199,42*,8.65,298,66.77,0,0,9,16,6,SOUTH AFRICA
926,D Olivier ,2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-,SOUTH AFRICA
927,JL Ontong ,2001-2012,27,15,2,184,32,14.15,265,69.43,0,0,0,18,1,SOUTH AFRICA
928,SJ Palframan ,1996-1996,7,4,0,55,28,13.75,80,68.75,0,0,0,8,0,SOUTH AFRICA
929,WD Parnell ,2009-2021,66,39,14,518,56,20.72,664,78.01,0,1,3,39,8,SOUTH AFRICA
930,D Paterson ,2017-2019,4,-,-,-,-,-,-,-,-,-,-,-,-,SOUTH AFRICA
931,AN Petersen ,2006-2013,21,19,1,504,80,28.00,610,82.62,0,4,0,54,3,SOUTH AFRICA
932,RJ Peterson ,2002-2014,79,41,14,556,68,20.59,688,80.81,0,1,4,51,5,SOUTH AFRICA
933,AM Phangiso ,2013-2016,21,13,2,81,20,7.36,162,50.00,0,0,3,5,0,SOUTH AFRICA
934,AL Phehlukwayo ,2016-2021,68,43,15,731,69*,26.10,830,88.07,0,2,4,66,27,SOUTH AFRICA
935,VD Philander ,2007-2015,30,19,7,151,30*,12.58,213,70.89,0,0,3,14,0,SOUTH AFRICA
936,SM Pollock ,1996-2008,294,196,70,3193,90,25.34,3732,85.55,0,13,20,212,55,SOUTH AFRICA
937,N Pothas ,2000-2000,3,1,0,24,24,24.00,41,58.53,0,0,0,0,0,SOUTH AFRICA
938,D Pretorius ,2016-2019,22,10,1,135,50,15.00,145,93.10,0,1,1,9,4,SOUTH AFRICA
939,AG Prince ,2002-2007,49,38,11,940,89*,34.81,1382,68.01,0,2,2,72,4,SOUTH AFRICA
940,MW Pringle ,1992-1994,17,8,3,48,13*,9.60,56,85.71,0,0,1,2,0,SOUTH AFRICA
941,AG Puttick ,2005-2005,1,1,0,0,0,0.00,5,0.00,0,0,1,0,0,SOUTH AFRICA
942,K Rabada ,2015-2021,82,33,15,310,31*,17.22,376,82.44,0,0,2,25,7,SOUTH AFRICA
943,JN Rhodes ,1992-2003,245,220,51,5935,121,35.11,7336,80.90,2,33,12,392,47,SOUTH AFRICA
944,CEB Rice ,1991-1991,3,2,0,26,14,13.00,37,70.27,0,0,0,1,1,SOUTH AFRICA
945,DJ Richardson ,1991-1998,122,77,33,868,53,19.72,1298,66.87,0,1,6,33,1,SOUTH AFRICA
946,MJR Rindel ,1994-1999,22,22,1,575,106,27.38,860,66.86,1,2,1,56,0,SOUTH AFRICA
947,RR Rossouw ,2014-2016,36,35,3,1239,132,38.71,1313,94.36,3,7,5,131,22,SOUTH AFRICA
948,JA Rudolph ,2003-2006,43,37,6,1157,81,37.32,1685,68.66,0,7,0,107,5,SOUTH AFRICA
949,DB Rundle ,1994-1994,2,2,0,6,6,3.00,11,54.54,0,0,1,1,0,SOUTH AFRICA
950,MW Rushmere ,1992-1992,4,4,0,78,35,19.50,174,44.82,0,0,0,4,0,SOUTH AFRICA
951,BN Schultz ,1992-1992,1,-,-,-,-,-,-,-,-,-,-,-,-,SOUTH AFRICA
952,T Shamsi ,2016-2021,31,5,4,9,9*,9.00,21,42.85,0,0,1,0,0,SOUTH AFRICA
953,TG Shaw ,1991-1994,9,6,4,26,17*,13.00,35,74.28,0,0,1,1,0,SOUTH AFRICA
954,M Shezi ,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-,SOUTH AFRICA
955,EO Simons ,1994-1995,23,18,4,217,24,15.50,295,73.55,0,0,1,10,3,SOUTH AFRICA
956,L Sipamla ,2020-2021,5,2,2,14,10*,-,19,73.68,0,0,0,0,0,SOUTH AFRICA
957,GC Smith ,2002-2013,196,193,10,6989,141,38.19,8643,80.86,10,47,7,788,44,SOUTH AFRICA
958,JT Smuts ,2020-2021,6,5,1,180,84,45.00,229,78.60,0,1,0,20,1,SOUTH AFRICA
959,RP Snell ,1991-1996,42,28,8,322,63,16.10,330,97.57,0,2,1,20,4,SOUTH AFRICA
960,ELR Stewart ,1993-2002,6,6,2,61,23*,15.25,116,52.58,0,0,0,5,0,SOUTH AFRICA
961,DW Steyn ,2006-2019,123,49,12,361,60,9.75,547,65.99,0,1,8,35,9,SOUTH AFRICA
962,PJR Steyn ,1995-1995,1,1,0,4,4,4.00,14,28.57,0,0,0,0,0,SOUTH AFRICA
963,PC Strydom ,2000-2000,10,8,3,48,34,9.60,94,51.06,0,0,1,2,0,SOUTH AFRICA
964,PL Symcox ,1993-1999,80,54,13,694,61,16.92,830,83.61,0,3,6,48,22,SOUTH AFRICA
965,R Telemachus ,1998-2006,37,15,3,73,29,6.08,94,77.65,0,0,2,4,3,SOUTH AFRICA
966,DJ Terbrugge ,2000-2000,4,2,1,5,5,5.00,14,35.71,0,0,0,0,0,SOUTH AFRICA
967,J Theron ,2010-2010,4,1,0,5,5,5.00,5,100.00,0,0,0,0,0,SOUTH AFRICA
968,MS Tshabalala ,2007-2007,4,1,1,2,2*,-,3,66.66,0,0,0,0,0,SOUTH AFRICA
969,LL Tsotsobe ,2009-2013,61,21,13,56,16*,7.00,109,51.37,0,0,3,7,1,SOUTH AFRICA
970,HE van der Dussen ,2019-2021,29,23,7,1049,123*,65.56,1222,85.84,1,9,0,69,22,SOUTH AFRICA
971,RE van der Merwe ,2009-2010,13,7,3,39,12,9.75,41,95.12,0,0,1,3,2,SOUTH AFRICA
972,JJ van der Wath ,2006-2007,10,8,2,89,37*,14.83,70,127.14,0,0,3,3,8,SOUTH AFRICA
973,M van Jaarsveld ,2002-2004,11,7,1,124,45,20.66,169,73.37,0,0,1,16,0,SOUTH AFRICA
974,VB van Jaarsveld ,2009-2009,2,2,0,9,5,4.50,15,60.00,0,0,0,0,0,SOUTH AFRICA
975,MN van Wyk ,2003-2015,17,17,1,425,82,26.56,617,68.88,0,4,2,48,4,SOUTH AFRICA
976,CJPG van Zyl ,1992-1992,2,2,1,3,3*,3.00,11,27.27,0,0,1,0,0,SOUTH AFRICA
977,K Verreynne ,2020-2021,9,7,0,283,95,40.42,321,88.16,0,3,0,18,7,SOUTH AFRICA
978,KC Wessels ,1991-1994,55,54,4,1627,90,32.54,3143,51.76,0,12,0,124,0,SOUTH AFRICA
979,D Wiese ,2015-2016,6,6,1,102,41*,20.40,115,88.69,0,0,0,7,5,SOUTH AFRICA
980,HS Williams ,1999-2000,7,2,1,8,7,8.00,11,72.72,0,0,0,0,0,SOUTH AFRICA
981,LB Williams ,2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,-,SOUTH AFRICA
982,CM Willoughby ,2000-2003,3,2,0,0,0,0.00,4,0.00,0,0,2,0,0,SOUTH AFRICA
983,M Yachad ,1991-1991,1,1,0,31,31,31.00,77,40.25,0,0,0,1,0,SOUTH AFRICA
984,M Zondeki ,2002-2008,11,2,2,4,3*,-,3,133.33,0,0,0,0,0,SOUTH AFRICA
985,K Zondo ,2018-2021,6,6,1,146,54,29.20,231,63.20,0,1,0,8,3,SOUTH AFRICA
986,Zubayr Hamza ,2021-2021,1,1,0,56,56,56.00,79,70.88,0,1,0,5,1,SOUTH AFRICA
987,SA Abbott ,2014-2020,2,2,0,7,4,3.50,16,43.75,0,0,0,0,0,AUSTRALIA
988,AC Agar ,2015-2021,15,13,3,236,46,23.60,273,86.44,0,0,2,25,1,AUSTRALIA
989,WA Agar ,2021-2021,2,2,0,50,41,25.00,42,119.04,0,0,0,4,2,AUSTRALIA
990,TM Alderman ,1981-1991,65,18,6,32,9*,2.66,97,32.98,0,0,6,2,0,AUSTRALIA
991,J Angel ,1994-1995,3,1,0,0,0,0.00,3,0.00,0,0,1,0,0,AUSTRALIA
992,GJ Bailey ,2012-2016,90,85,10,3044,156,40.58,3645,83.51,3,22,3,222,57,AUSTRALIA
993,GR Beard ,1981-1981,2,-,-,-,-,-,-,-,-,-,-,-,-,AUSTRALIA
994,JP Behrendorff ,2019-2019,11,5,3,19,11*,9.50,15,126.66,0,0,1,0,0,AUSTRALIA
995,MJ Bennett ,1984-1985,8,4,1,9,6*,3.00,21,42.85,0,0,2,0,0,AUSTRALIA
996,MG Bevan ,1994-2004,232,196,67,6912,108*,53.58,9320,74.16,6,46,5,450,21,AUSTRALIA
997,AJ Bichel ,1997-2004,67,36,13,471,64,20.47,600,78.50,0,1,5,33,10,AUSTRALIA
998,GA Bishop ,1987-1987,2,2,0,13,7,6.50,44,29.54,0,0,0,1,0,AUSTRALIA
999,GS Blewett ,1995-1999,32,30,3,551,57*,20.40,889,61.97,0,2,3,35,3,AUSTRALIA
1000,SM Boland ,2016-2016,14,4,1,9,4,3.00,22,40.90,0,0,1,0,0,AUSTRALIA
1001,DE Bollinger ,2009-2011,39,8,2,50,30,8.33,54,92.59,0,0,1,5,0,AUSTRALIA
1002,DC Boon ,1984-1995,181,177,16,5964,122,37.04,9157,65.13,5,37,6,494,16,AUSTRALIA
1003,AR Border ,1979-1994,273,252,39,6524,127*,30.62,9134,71.42,3,39,11,500,43,AUSTRALIA
