,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Country
110,GN Edwards ,1976-1981,6,6,0,138,41,23.00,191,72.25,0,0,1,12+,1+,NEW ZEALAND
111,GD Elliott ,2008-2016,83,69,11,1976,115,34.06,2416,81.78,2,11,6,151,28,NEW ZEALAND
112,AM Ellis ,2012-2013,15,12,1,154,33,14.00,184,83.69,0,0,1,10,2,NEW ZEALAND
113,LH Ferguson ,2016-2020,37,16,7,63,19,7.00,132,47.72,0,0,4,3,1,NEW ZEALAND
114,SP Fleming ,1994-2007,279,268,21,8007,134*,32.41,11214,71.40,8,49,17,822,63,NEW ZEALAND
115,DR Flynn ,2008-2012,20,17,2,228,35,15.20,360,63.33,0,0,3,23,2,NEW ZEALAND
116,JEC Franklin ,2001-2013,110,80,27,1270,98*,23.96,1651,76.92,0,4,5,97,17,NEW ZEALAND
117,TJ Franklin ,1983-1988,3,3,0,27,21,9.00,89,30.33,0,0,1,0,0,NEW ZEALAND
118,PG Fulton ,2004-2009,49,46,5,1334,112,32.53,1833,72.77,1,8,2,111,20,NEW ZEALAND
119,LK Germon ,1994-1997,37,31,5,519,89,19.96,787,65.94,0,3,2,28,1,NEW ZEALAND
120,MR Gillespie ,2006-2009,32,14,8,93,28,15.50,118,78.81,0,0,1,8,1,NEW ZEALAND
121,SR Gillespie ,1986-1988,19,11,5,70,18*,11.66,106,66.03,0,0,1,4,1,NEW ZEALAND
122,EJ Gray ,1984-1988,10,7,1,98,38,16.33,230,42.60,0,0,0,6,0,NEW ZEALAND
123,MJ Greatbatch ,1988-1996,84,83,5,2206,111,28.28,3099,71.18,2,13,7,177,38,NEW ZEALAND
124,MJ Guptill ,2009-2021,186,183,19,6927,237*,42.23,7896,87.72,16,37,15,702,181,NEW ZEALAND
125,BG Hadlee ,1975-1975,2,2,1,26,19,26.00,93,27.95,0,0,0,1,0,NEW ZEALAND
126,DR Hadlee ,1973-1976,11,7,2,40,20,8.00,85,47.05,0,0,3,3,0,NEW ZEALAND
