,index,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Country,Debut Year,Last Year,Total Years,Innings per Matches,Not outs per innings,Arithmatic Average of Total Runs by Inns Played,Not Out when scored highest,HS Numeric,100's per innings,50's per innings,0's per innings,4s numeric,6s numeric,boundaries,4s per Inns,6s per Inns,Boundary Ave per Inns,boundaries per innings,runs scored by boundaries,boundaries to runs ratio,runs without boundaries,BF without boundaries,Strike Rate without boundaries,Avg runs per year
520,1236,RJ Bailey ,1985-1990,4,4.0,2.0,137.0,43*,68.5,196.0,69.89,0.0,0.0,0.0,6,2,ENGLAND,1985,1990,5,1.0,0.5,34.25,1,43,0.0,0.0,0.0,6,2,8,1.5,0.5,9.0,2.0,36,0.26277372262773724,101.0,188.0,53.72340425531915,27.4
521,1237,DL Bairstow ,1979-1984,21,20.0,6.0,206.0,23*,14.71,390.0,52.82,0.0,0.0,1.0,12,1,ENGLAND,1979,1984,5,0.9523809523809523,0.3,10.3,1,23,0.0,0.0,0.05,12,1,13,0.6,0.05,2.7,0.65,54,0.2621359223300971,152.0,377.0,40.318302387267906,41.2
522,1238,JM Bairstow ,2011-2021,89,81.0,8.0,3498.0,141*,47.91,3331.0,105.01,11.0,14.0,6.0,391,89,ENGLAND,2011,2021,10,0.9101123595505618,0.09876543209876543,43.18518518518518,1,141,0.13580246913580246,0.1728395061728395,0.07407407407407407,391,89,480,4.827160493827161,1.0987654320987654,25.901234567901234,5.925925925925926,2098,0.5997712978845054,1400.0,2851.0,49.105576990529634,349.8
523,1244,GJ Batty ,2002-2009,10,8.0,2.0,30.0,17,5.0,73.0,41.09,0.0,0.0,1.0,1,0,ENGLAND,2002,2009,7,0.8,0.25,3.75,0,17,0.0,0.0,0.125,1,0,1,0.125,0.0,0.5,0.125,4,0.13333333333333333,26.0,72.0,36.11111111111111,4.285714285714286
524,1245,IR Bell ,2004-2015,161,157.0,14.0,5416.0,141,37.87,7019.0,77.16,4.0,35.0,6.0,525,32,ENGLAND,2004,2015,11,0.9751552795031055,0.08917197452229299,34.496815286624205,0,141,0.025477707006369428,0.2229299363057325,0.03821656050955414,525,32,557,3.343949044585987,0.20382165605095542,14.598726114649681,3.5477707006369426,2292,0.42319054652880356,3124.0,6462.0,48.34416589291241,492.3636363636364
525,1249,SW Billings ,2015-2021,25,20.0,2.0,607.0,118,33.72,657.0,92.38,1.0,4.0,1.0,68,6,ENGLAND,2015,2021,6,0.8,0.1,30.35,0,118,0.05,0.2,0.05,68,6,74,3.4,0.3,15.399999999999999,3.7,308,0.5074135090609555,299.0,583.0,51.286449399656945,101.16666666666667
526,1252,RS Bopara ,2007-2015,120,109.0,21.0,2695.0,101*,30.62,3462.0,77.84,1.0,14.0,4.0,204,34,ENGLAND,2007,2015,8,0.9083333333333333,0.1926605504587156,24.724770642201836,1,101,0.009174311926605505,0.12844036697247707,0.03669724770642202,204,34,238,1.871559633027523,0.3119266055045872,9.357798165137615,2.18348623853211,1020,0.3784786641929499,1675.0,3224.0,51.954094292803966,336.875
527,1254,IT Botham ,1976-1992,116,106.0,15.0,2113.0,79,23.21,2671.0,79.1,0.0,9.0,6.0,197,44,ENGLAND,1976,1992,16,0.9137931034482759,0.14150943396226415,19.933962264150942,0,79,0.0,0.08490566037735849,0.05660377358490566,197,44,241,1.8584905660377358,0.41509433962264153,9.924528301886792,2.2735849056603774,1052,0.497870326549929,1061.0,2430.0,43.66255144032922,132.0625
528,1255,G Boycott ,1971-1981,36,34.0,4.0,1082.0,105,36.06,2020.0,53.56,1.0,9.0,1.0,84,0,ENGLAND,1971,1981,10,0.9444444444444444,0.11764705882352941,31.823529411764707,0,105,0.029411764705882353,0.2647058823529412,0.029411764705882353,84,0,84,2.4705882352941178,0.0,9.882352941176471,2.4705882352941178,336,0.31053604436229204,746.0,1936.0,38.53305785123967,108.2
529,1257,TT Bresnan ,2006-2015,85,64.0,20.0,871.0,80,19.79,965.0,90.25,0.0,1.0,6.0,88,6,ENGLAND,2006,2015,9,0.7529411764705882,0.3125,13.609375,0,80,0.0,0.015625,0.09375,88,6,94,1.375,0.09375,6.0625,1.46875,388,0.4454649827784156,483.0,871.0,55.453501722158435,96.77777777777777
530,1260,SCJ Broad ,2006-2016,121,68.0,25.0,529.0,45*,12.3,709.0,74.61,0.0,0.0,8.0,35,10,ENGLAND,2006,2016,10,0.5619834710743802,0.36764705882352944,7.779411764705882,1,45,0.0,0.0,0.11764705882352941,35,10,45,0.5147058823529411,0.14705882352941177,2.941176470588235,0.6617647058823529,200,0.3780718336483932,329.0,664.0,49.54819277108434,52.9
531,1261,AD Brown ,1996-2001,16,16.0,0.0,354.0,118,22.12,427.0,82.9,1.0,1.0,2.0,40,3,ENGLAND,1996,2001,5,1.0,0.0,22.125,0,118,0.0625,0.0625,0.125,40,3,43,2.5,0.1875,11.125,2.6875,178,0.5028248587570622,176.0,384.0,45.83333333333333,70.8
532,1265,JC Buttler ,2012-2021,148,123.0,23.0,3872.0,150,38.72,3263.0,118.66,9.0,20.0,13.0,323,125,ENGLAND,2012,2021,9,0.831081081081081,0.18699186991869918,31.479674796747968,0,150,0.07317073170731707,0.16260162601626016,0.10569105691056911,323,125,448,2.6260162601626016,1.016260162601626,16.601626016260163,3.6422764227642275,2042,0.5273760330578512,1830.0,2815.0,65.0088809946714,430.22222222222223
533,1266,AR Caddick ,1993-2003,54,38.0,18.0,249.0,36,12.45,395.0,63.03,0.0,0.0,6.0,19,3,ENGLAND,1993,2003,10,0.7037037037037037,0.47368421052631576,6.552631578947368,0,36,0.0,0.0,0.15789473684210525,19,3,22,0.5,0.07894736842105263,2.473684210526316,0.5789473684210527,94,0.37751004016064255,155.0,373.0,41.55495978552279,24.9
534,1273,PD Collingwood ,2001-2011,197,181.0,37.0,5092.0,120*,35.36,6614.0,76.98,5.0,26.0,7.0,365,74,ENGLAND,2001,2011,10,0.9187817258883249,0.20441988950276244,28.132596685082873,1,120,0.027624309392265192,0.143646408839779,0.03867403314917127,365,74,439,2.016574585635359,0.4088397790055249,10.519337016574585,2.425414364640884,1904,0.3739198743126473,3188.0,6175.0,51.62753036437246,509.2
535,1274,AN Cook ,2006-2014,92,92.0,4.0,3204.0,137,36.4,4154.0,77.13,5.0,19.0,7.0,363,10,ENGLAND,2006,2014,8,1.0,0.043478260869565216,34.82608695652174,0,137,0.05434782608695652,0.20652173913043478,0.07608695652173914,363,10,373,3.9456521739130435,0.10869565217391304,16.434782608695652,4.054347826086956,1512,0.47191011235955055,1692.0,3781.0,44.75006612007405,400.5
537,1278,DG Cork ,1992-2002,32,21.0,3.0,180.0,31*,10.0,271.0,66.42,0.0,0.0,4.0,13,1,ENGLAND,1992,2002,10,0.65625,0.14285714285714285,8.571428571428571,1,31,0.0,0.0,0.19047619047619047,13,1,14,0.6190476190476191,0.047619047619047616,2.761904761904762,0.6666666666666666,58,0.32222222222222224,122.0,257.0,47.47081712062256,18.0
538,1282,JP Crawley ,1994-1999,13,12.0,1.0,235.0,73,21.36,408.0,57.59,0.0,2.0,2.0,14,1,ENGLAND,1994,1999,5,0.9230769230769231,0.08333333333333333,19.583333333333332,0,73,0.0,0.16666666666666666,0.16666666666666666,14,1,15,1.1666666666666667,0.08333333333333333,5.166666666666667,1.25,62,0.26382978723404255,173.0,393.0,44.02035623409669,47.0
539,1284,RDB Croft ,1996-2001,50,36.0,12.0,345.0,32,14.37,519.0,66.47,0.0,0.0,4.0,23,2,ENGLAND,1996,2001,5,0.72,0.3333333333333333,9.583333333333334,0,32,0.0,0.0,0.1111111111111111,23,2,25,0.6388888888888888,0.05555555555555555,2.888888888888889,0.6944444444444444,104,0.30144927536231886,241.0,494.0,48.78542510121457,69.0
